down_at,press_duration_ms,preceding_age_ms,next_sample_ms,previous_raw,next_raw,offline_interpolated_click_raw,max_raw_during_press,path_to_next_sample_counts,net_to_next_sample_counts,bounded_slope_next_raw,first_floor_ms
2403012.3270671,90.05350014194846,1.2249997816979885,16.77200011909008,383,480,389.602488163569,526,0.0,0.0,428.0871774799622,16.77200011909008
2403012.5389878,88.09139998629689,13.156400062143803,2.8828000649809837,335,380,371.91194062696695,533,0.0,0.0,379.0,20.875699818134308
2403012.7431141,95.98510013893247,17.256499733775854,0.7278001867234707,338,381,379.259848414036,532,0.0,0.0,379.0,16.741300001740456
2403012.9671103,103.86440018191934,7.277300115674734,10.741900186985731,359,382,368.2888640921432,520,0.0,0.0,387.06389044883025,26.72740025445819
2403013.1780566,96.61100013181567,0.3774999640882015,15.679500065743923,377,460,378.95132944890753,531,0.0,0.0,418.08137470719345,15.679500065743923
2403013.3765594,95.34560004249215,0.3315000794827938,17.766700126230717,382,468,383.57523988636837,495,0.0,0.0,428.4787882996846,17.766700126230717
2403013.5825959,108.83289994671941,3.5485001280903816,12.439999729394913,370,421,381.318979775822,500,0.0,0.0,393.6048559416272,12.439999729394913
2403013.8007733,105.94439972192049,5.263100378215313,10.299199726432562,366,436,389.6736873082816,518,0.0,0.0,388.9593297446401,10.299199726432562
2403013.9997745,100.42949998751283,5.7532996870577335,11.803100351244211,365,427,385.31763800206045,513,0.0,0.0,393.59573554123165,11.803100351244211
2403014.2024253,95.0505998916924,6.750599946826696,13.80239985883236,362,455,392.5457014056908,512,0.0,0.0,386.65612479436834,13.80239985883236
2403014.4094018,98.11299992725253,11.150499805808067,4.851500038057566,353,380,371.8141168412916,513,0.0,0.0,379.0,22.885600104928017
2403014.6014146,100.0119000673294,3.1608999706804752,12.864900287240744,364,432,377.4121974907326,520,0.0,0.0,393.380857531515,12.864900287240744
2403014.7914638,96.06420015916228,11.214799713343382,4.78280009701848,352,381,372.3298742025227,520,0.0,0.0,379.0,22.78330037370324
2403014.9795512,101.96090023964643,15.297299716621637,0.703700352460146,346,382,380.4167731654776,528,0.0,0.0,379.0,16.698600258678198
2403015.18351,97.4209001287818,3.2595996744930744,14.744900166988373,374,438,385.58679113578705,520,0.0,0.0,403.05963134360786,14.744900166988373
2403015.3931541,103.87929994612932,11.353000067174435,4.617900121957064,358,382,375.0605287357321,520,0.0,0.0,381.0113386651314,20.62870003283024
2403015.5870156,117.97069991007447,5.243000108748674,12.767999898642302,369,426,385.59269369141293,538,0.0,0.0,400.07131836163313,12.767999898642302
2403015.7850592,108.10999991372228,1.2811003252863884,14.726100023835897,377,437,381.8019652306906,527,0.0,0.0,403.74774745869274,14.726100023835897
2403015.9720126,98.32060011103749,5.28350006788969,10.26940019801259,366,421,384.6841359981597,504,0.0,0.0,393.42740804541114,10.26940019801259
2403016.1500652,116.0011999309063,17.725899815559387,0.8307001553475857,347,382,380.433198674178,558,0.0,0.0,379.0,16.820000018924475
2403016.3480581,108.06280001997948,11.132999788969755,6.832499988377094,355,381,371.1118809997258,524,0.0,0.0,379.0,22.866399958729744
2403016.5441925,116.08899990096688,7.302799727767706,8.702800143510103,363,380,370.7565099946572,534,0.0,0.0,390.0433497962854,26.6915000975132
2403016.7521233,89.99999985098839,15.223199967294931,0.7692999206483364,341,381,379.07584823876516,515,0.0,0.0,379.0,16.788000240921974
2403016.9341182,96.02099983021617,15.232500154525042,2.8095999732613564,347,383,377.39391210995245,518,0.0,0.0,379.0,18.771700095385313
2403017.1081508,105.97059968858957,5.217200145125389,12.75859959423542,369,421,384.0922023765362,520,0.0,0.0,391.9747789383995,12.75859959423542
2403017.3021221,92.04640006646514,15.21169999614358,0.7688002660870552,344,380,378.2680886627469,525,0.0,0.0,379.0,18.789099995046854
2403017.4701436,99.90009991452098,15.228900127112865,0.7452000863850117,350,381,379.553833870504,520,0.0,0.0,379.0,16.740700230002403
2403017.6641248,108.55320002883673,9.229599963873625,6.7610000260174274,364,381,373.8122146439185,533,0.0,0.0,380.916627077359,24.801500141620636
2403017.8341607,100.81120021641254,14.119899831712246,3.4441999159753323,352,380,374.5093913703146,491,0.0,0.0,379.0,20.982500165700912
2403018.3857986,1932.4399000033736,3.12810018658638,14.849800150841475,363,504,387.5335727771524,630,0.0,0.0,413.01684576306394,14.849800150841475
2403020.9119018,1526.2445998378098,7.282699923962355,8.721400052309036,354,381,366.2864077479223,636,0.0,0.0,387.8539342324631,24.71330016851425
2403022.6881721,1178.3533999696374,13.227799907326698,2.775699831545353,331,379,370.67472152415786,643,0.0,0.0,379.0,18.79270002245903
2403024.116155,972.2937000915408,5.246699787676334,10.753400158137083,368,443,392.59375162707585,633,5.414213562373095,5.0990195135927845,409.06839255869437,10.753400158137083
